    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            [0m
|                                                         Metric |                                     Task |       Value |   Unit |
|                                         Total Old Gen GC count |                                          |           0 |        |
|                                                     Store size |                                          |     25.0275 |     GB |
|                                                  Translog size |                                          | 5.12227e-08 |     GB |
|                                         Heap used for segments |                                          |           0 |     MB |
|                                       Heap used for doc values |                                          |           0 |     MB |
|                                            Heap used for terms |                                          |           0 |     MB |
|                                            Heap used for norms |                                          |           0 |     MB |
|                                           Heap used for points |                                          |           0 |     MB |
|                                    Heap used for stored fields |                                          |           0 |     MB |
|                                                  Segment count |                                          |          34 |        |
|                                                 Min Throughput |                                    index |     15349.8 | docs/s |
|                                                Mean Throughput |                                    index |     17149.4 | docs/s |
|                                              Median Throughput |                                    index |     16339.5 | docs/s |
|                                                 Max Throughput |                                    index |     27288.3 | docs/s |
|                                      0th percentile throughput |                                    index |     15349.8 |     ms |
|                                     25th percentile throughput |                                    index |     15726.5 |     ms |
|                                     50th percentile throughput |                                    index |       16338 |     ms |
|                                     75th percentile throughput |                                    index |       17827 |     ms |
|                                    100th percentile throughput |                                    index |     27288.3 |     ms |
|                                         0th percentile latency |                                    index |     2156.66 |     ms |
|                                        10th percentile latency |                                    index |     8353.31 |     ms |
|                                        20th percentile latency |                                    index |      9113.2 |     ms |
|                                        25th percentile latency |                                    index |      9457.5 |     ms |
|                                        30th percentile latency |                                    index |      9723.9 |     ms |
|                                        40th percentile latency |                                    index |       10139 |     ms |
|                                        50th percentile latency |                                    index |     10494.7 |     ms |
|                                        60th percentile latency |                                    index |       10858 |     ms |
|                                        70th percentile latency |                                    index |       11250 |     ms |
|                                        75th percentile latency |                                    index |     11494.1 |     ms |
|                                        80th percentile latency |                                    index |     11797.9 |     ms |
|                                        90th percentile latency |                                    index |     12612.7 |     ms |
|                                        99th percentile latency |                                    index |     14323.3 |     ms |
|                                      99.9th percentile latency |                                    index |       15156 |     ms |
|                                     99.99th percentile latency |                                    index |     15660.3 |     ms |
|                                       100th percentile latency |                                    index |     15903.7 |     ms |
|                                   50th percentile service time |                                    index |     10495.4 |     ms |
|                                   90th percentile service time |                                    index |     12613.5 |     ms |
|                                   99th percentile service time |                                    index |     14323.5 |     ms |
|                                 99.9th percentile service time |                                    index |       15156 |     ms |
|                                99.99th percentile service time |                                    index |     15660.3 |     ms |
|                                  100th percentile service time |                                    index |     15903.7 |     ms |
|                                                     error rate |                                    index |           0 |      % |
|                                                 Min Throughput |                 wait-until-merges-finish |       71.34 |  ops/s |
|                                                Mean Throughput |                 wait-until-merges-finish |       71.34 |  ops/s |
|                                              Median Throughput |                 wait-until-merges-finish |       71.34 |  ops/s |
|                                                 Max Throughput |                 wait-until-merges-finish |       71.34 |  ops/s |
|                                    100th percentile throughput |                 wait-until-merges-finish |     71.3378 |     ms |
|                                       100th percentile latency |                 wait-until-merges-finish |     13.6575 |     ms |
|                                  100th percentile service time |                 wait-until-merges-finish |     13.6575 |     ms |
|                                                     error rate |                 wait-until-merges-finish |           0 |      % |
|                                                 Min Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                Mean Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                              Median Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                 Max Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                      0th percentile throughput |                         cheap-tip-amount |      5.9992 |     ms |
|                                     25th percentile throughput |                         cheap-tip-amount |      5.9999 |     ms |
|                                     50th percentile throughput |                         cheap-tip-amount |     5.99994 |     ms |
|                                     75th percentile throughput |                         cheap-tip-amount |     5.99996 |     ms |
|                                    100th percentile throughput |                         cheap-tip-amount |     5.99997 |     ms |
|                                         0th percentile latency |                         cheap-tip-amount |     1.90751 |     ms |
|                                        10th percentile latency |                         cheap-tip-amount |     4.53689 |     ms |
|                                        20th percentile latency |                         cheap-tip-amount |     4.81032 |     ms |
|                                        25th percentile latency |                         cheap-tip-amount |     4.93081 |     ms |
|                                        30th percentile latency |                         cheap-tip-amount |     5.04932 |     ms |
|                                        40th percentile latency |                         cheap-tip-amount |     5.29119 |     ms |
|                                        50th percentile latency |                         cheap-tip-amount |     5.60359 |     ms |
|                                        60th percentile latency |                         cheap-tip-amount |     6.09945 |     ms |
|                                        70th percentile latency |                         cheap-tip-amount |     6.63583 |     ms |
|                                        75th percentile latency |                         cheap-tip-amount |     6.86522 |     ms |
|                                        80th percentile latency |                         cheap-tip-amount |     7.10673 |     ms |
|                                        90th percentile latency |                         cheap-tip-amount |     7.63017 |     ms |
|                                        99th percentile latency |                         cheap-tip-amount |      9.5332 |     ms |
|                                      99.9th percentile latency |                         cheap-tip-amount |     12.1451 |     ms |
|                                     99.99th percentile latency |                         cheap-tip-amount |     14.4565 |     ms |
|                                       100th percentile latency |                         cheap-tip-amount |     20.8365 |     ms |
|                                   50th percentile service time |                         cheap-tip-amount |     4.50469 |     ms |
|                                   90th percentile service time |                         cheap-tip-amount |     6.51554 |     ms |
|                                   99th percentile service time |                         cheap-tip-amount |     8.31821 |     ms |
|                                 99.9th percentile service time |                         cheap-tip-amount |     11.0806 |     ms |
|                                99.99th percentile service time |                         cheap-tip-amount |     13.2725 |     ms |
|                                  100th percentile service time |                         cheap-tip-amount |     19.5462 |     ms |
|                                                     error rate |                         cheap-tip-amount |           0 |      % |
|                                                 Min Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                                Mean Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                              Median Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                                 Max Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                      0th percentile throughput |                        cheap-fare-amount |     5.99921 |     ms |
|                                     25th percentile throughput |                        cheap-fare-amount |      5.9999 |     ms |
|                                     50th percentile throughput |                        cheap-fare-amount |     5.99994 |     ms |
|                                     75th percentile throughput |                        cheap-fare-amount |     5.99996 |     ms |
|                                    100th percentile throughput |                        cheap-fare-amount |     5.99997 |     ms |
|                                         0th percentile latency |                        cheap-fare-amount |     2.50229 |     ms |
|                                        10th percentile latency |                        cheap-fare-amount |     4.22265 |     ms |
|                                        20th percentile latency |                        cheap-fare-amount |     4.53374 |     ms |
|                                        25th percentile latency |                        cheap-fare-amount |     4.66671 |     ms |
|                                        30th percentile latency |                        cheap-fare-amount |      4.7975 |     ms |
|                                        40th percentile latency |                        cheap-fare-amount |     5.05878 |     ms |
|                                        50th percentile latency |                        cheap-fare-amount |      5.3642 |     ms |
|                                        60th percentile latency |                        cheap-fare-amount |     5.77975 |     ms |
|                                        70th percentile latency |                        cheap-fare-amount |     6.26573 |     ms |
|                                        75th percentile latency |                        cheap-fare-amount |     6.51818 |     ms |
|                                        80th percentile latency |                        cheap-fare-amount |     6.79414 |     ms |
|                                        90th percentile latency |                        cheap-fare-amount |     7.43589 |     ms |
|                                        99th percentile latency |                        cheap-fare-amount |     10.3382 |     ms |
|                                      99.9th percentile latency |                        cheap-fare-amount |     11.8013 |     ms |
|                                     99.99th percentile latency |                        cheap-fare-amount |     14.2965 |     ms |
|                                       100th percentile latency |                        cheap-fare-amount |     21.2244 |     ms |
|                                   50th percentile service time |                        cheap-fare-amount |     4.26257 |     ms |
|                                   90th percentile service time |                        cheap-fare-amount |     6.30971 |     ms |
|                                   99th percentile service time |                        cheap-fare-amount |     9.30904 |     ms |
|                                 99.9th percentile service time |                        cheap-fare-amount |     10.6764 |     ms |
|                                99.99th percentile service time |                        cheap-fare-amount |     13.4193 |     ms |
|                                  100th percentile service time |                        cheap-fare-amount |     19.8939 |     ms |
|                                                     error rate |                        cheap-fare-amount |           0 |      % |
|                                                 Min Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                                Mean Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                              Median Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                                 Max Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                      0th percentile throughput |                       cheap-total-amount |     5.99915 |     ms |
|                                     25th percentile throughput |                       cheap-total-amount |     5.99989 |     ms |
|                                     50th percentile throughput |                       cheap-total-amount |     5.99994 |     ms |
|                                     75th percentile throughput |                       cheap-total-amount |     5.99996 |     ms |
|                                    100th percentile throughput |                       cheap-total-amount |     5.99997 |     ms |
|                                         0th percentile latency |                       cheap-total-amount |     2.49317 |     ms |
|                                        10th percentile latency |                       cheap-total-amount |     4.82513 |     ms |
|                                        20th percentile latency |                       cheap-total-amount |     5.15847 |     ms |
|                                        25th percentile latency |                       cheap-total-amount |     5.28901 |     ms |
|                                        30th percentile latency |                       cheap-total-amount |     5.41111 |     ms |
|                                        40th percentile latency |                       cheap-total-amount |     5.65102 |     ms |
|                                        50th percentile latency |                       cheap-total-amount |     5.94016 |     ms |
|                                        60th percentile latency |                       cheap-total-amount |     6.31807 |     ms |
|                                        70th percentile latency |                       cheap-total-amount |     6.84488 |     ms |
|                                        75th percentile latency |                       cheap-total-amount |     7.10809 |     ms |
|                                        80th percentile latency |                       cheap-total-amount |     7.37412 |     ms |
|                                        90th percentile latency |                       cheap-total-amount |     8.05089 |     ms |
|                                        99th percentile latency |                       cheap-total-amount |     10.8975 |     ms |
|                                      99.9th percentile latency |                       cheap-total-amount |     13.6735 |     ms |
|                                     99.99th percentile latency |                       cheap-total-amount |     17.6495 |     ms |
|                                       100th percentile latency |                       cheap-total-amount |     39.6394 |     ms |
|                                   50th percentile service time |                       cheap-total-amount |     4.86446 |     ms |
|                                   90th percentile service time |                       cheap-total-amount |     6.91621 |     ms |
|                                   99th percentile service time |                       cheap-total-amount |     9.80668 |     ms |
|                                 99.9th percentile service time |                       cheap-total-amount |     12.6245 |     ms |
|                                99.99th percentile service time |                       cheap-total-amount |     16.7427 |     ms |
|                                  100th percentile service time |                       cheap-total-amount |     38.9684 |     ms |
|                                                     error rate |                       cheap-total-amount |           0 |      % |
|                                                 Min Throughput |                             cheap-pickup |           6 |  ops/s |
|                                                Mean Throughput |                             cheap-pickup |           6 |  ops/s |
|                                              Median Throughput |                             cheap-pickup |           6 |  ops/s |
|                                                 Max Throughput |                             cheap-pickup |           6 |  ops/s |
|                                      0th percentile throughput |                             cheap-pickup |     5.99917 |     ms |
|                                     25th percentile throughput |                             cheap-pickup |     5.99989 |     ms |
|                                     50th percentile throughput |                             cheap-pickup |     5.99994 |     ms |
|                                     75th percentile throughput |                             cheap-pickup |     5.99996 |     ms |
|                                    100th percentile throughput |                             cheap-pickup |     5.99997 |     ms |
|                                         0th percentile latency |                             cheap-pickup |     3.82904 |     ms |
|                                        10th percentile latency |                             cheap-pickup |     5.56281 |     ms |
|                                        20th percentile latency |                             cheap-pickup |     5.82834 |     ms |
|                                        25th percentile latency |                             cheap-pickup |     5.93749 |     ms |
|                                        30th percentile latency |                             cheap-pickup |     6.04618 |     ms |
|                                        40th percentile latency |                             cheap-pickup |     6.26001 |     ms |
|                                        50th percentile latency |                             cheap-pickup |     6.53745 |     ms |
|                                        60th percentile latency |                             cheap-pickup |     7.36672 |     ms |
|                                        70th percentile latency |                             cheap-pickup |     8.19408 |     ms |
|                                        75th percentile latency |                             cheap-pickup |     8.48785 |     ms |
|                                        80th percentile latency |                             cheap-pickup |     8.74961 |     ms |
|                                        90th percentile latency |                             cheap-pickup |     9.27222 |     ms |
|                                        99th percentile latency |                             cheap-pickup |     10.2532 |     ms |
|                                      99.9th percentile latency |                             cheap-pickup |     13.3317 |     ms |
|                                     99.99th percentile latency |                             cheap-pickup |     15.2245 |     ms |
|                                       100th percentile latency |                             cheap-pickup |     32.4369 |     ms |
|                                   50th percentile service time |                             cheap-pickup |     5.37544 |     ms |
|                                   90th percentile service time |                             cheap-pickup |     8.23431 |     ms |
|                                   99th percentile service time |                             cheap-pickup |     8.88645 |     ms |
|                                 99.9th percentile service time |                             cheap-pickup |     12.1882 |     ms |
|                                99.99th percentile service time |                             cheap-pickup |     13.9686 |     ms |
|                                  100th percentile service time |                             cheap-pickup |     30.9912 |     ms |
|                                                     error rate |                             cheap-pickup |           0 |      % |
|                                                 Min Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                                Mean Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                              Median Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                                 Max Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                      0th percentile throughput |                            cheap-dropoff |     5.99915 |     ms |
|                                     25th percentile throughput |                            cheap-dropoff |     5.99989 |     ms |
|                                     50th percentile throughput |                            cheap-dropoff |     5.99994 |     ms |
|                                     75th percentile throughput |                            cheap-dropoff |     5.99996 |     ms |
|                                    100th percentile throughput |                            cheap-dropoff |     5.99997 |     ms |
|                                         0th percentile latency |                            cheap-dropoff |     3.72051 |     ms |
|                                        10th percentile latency |                            cheap-dropoff |     5.80312 |     ms |
|                                        20th percentile latency |                            cheap-dropoff |     6.07119 |     ms |
|                                        25th percentile latency |                            cheap-dropoff |      6.1784 |     ms |
|                                        30th percentile latency |                            cheap-dropoff |     6.28545 |     ms |
|                                        40th percentile latency |                            cheap-dropoff |     6.49971 |     ms |
|                                        50th percentile latency |                            cheap-dropoff |     6.77111 |     ms |
|                                        60th percentile latency |                            cheap-dropoff |     7.44629 |     ms |
|                                        70th percentile latency |                            cheap-dropoff |     8.23152 |     ms |
|                                        75th percentile latency |                            cheap-dropoff |     8.50967 |     ms |
|                                        80th percentile latency |                            cheap-dropoff |     8.78181 |     ms |
|                                        90th percentile latency |                            cheap-dropoff |     9.30716 |     ms |
|                                        99th percentile latency |                            cheap-dropoff |     10.2338 |     ms |
|                                      99.9th percentile latency |                            cheap-dropoff |     13.1024 |     ms |
|                                     99.99th percentile latency |                            cheap-dropoff |     14.0444 |     ms |
|                                       100th percentile latency |                            cheap-dropoff |     20.6488 |     ms |
|                                   50th percentile service time |                            cheap-dropoff |     5.67047 |     ms |
|                                   90th percentile service time |                            cheap-dropoff |     8.22976 |     ms |
|                                   99th percentile service time |                            cheap-dropoff |     9.07405 |     ms |
|                                 99.9th percentile service time |                            cheap-dropoff |     11.9796 |     ms |
|                                99.99th percentile service time |                            cheap-dropoff |     12.9614 |     ms |
|                                  100th percentile service time |                            cheap-dropoff |     19.2904 |     ms |
|                                                     error rate |                            cheap-dropoff |           0 |      % |
|                                                 Min Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                                Mean Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                              Median Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                                 Max Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                      0th percentile throughput |                            autohisto-agg |     1.50011 |     ms |
|                                     25th percentile throughput |                            autohisto-agg |     1.50014 |     ms |
|                                     50th percentile throughput |                            autohisto-agg |     1.50021 |     ms |
|                                     75th percentile throughput |                            autohisto-agg |     1.50039 |     ms |
|                                    100th percentile throughput |                            autohisto-agg |     1.50297 |     ms |
|                                         0th percentile latency |                            autohisto-agg |     7.88796 |     ms |
|                                        10th percentile latency |                            autohisto-agg |     26.5222 |     ms |
|                                        20th percentile latency |                            autohisto-agg |     36.6836 |     ms |
|                                        25th percentile latency |                            autohisto-agg |     40.5948 |     ms |
|                                        30th percentile latency |                            autohisto-agg |     44.8056 |     ms |
|                                        40th percentile latency |                            autohisto-agg |     56.9721 |     ms |
|                                        50th percentile latency |                            autohisto-agg |     71.1951 |     ms |
|                                        60th percentile latency |                            autohisto-agg |     88.9462 |     ms |
|                                        70th percentile latency |                            autohisto-agg |     111.786 |     ms |
|                                        75th percentile latency |                            autohisto-agg |     125.225 |     ms |
|                                        80th percentile latency |                            autohisto-agg |     139.122 |     ms |
|                                        90th percentile latency |                            autohisto-agg |     180.196 |     ms |
|                                        99th percentile latency |                            autohisto-agg |     233.464 |     ms |
|                                      99.9th percentile latency |                            autohisto-agg |     259.837 |     ms |
|                                       100th percentile latency |                            autohisto-agg |     275.828 |     ms |
|                                   50th percentile service time |                            autohisto-agg |     69.6569 |     ms |
|                                   90th percentile service time |                            autohisto-agg |     178.614 |     ms |
|                                   99th percentile service time |                            autohisto-agg |     231.922 |     ms |
|                                 99.9th percentile service time |                            autohisto-agg |     258.478 |     ms |
|                                  100th percentile service time |                            autohisto-agg |     274.429 |     ms |
|                                                     error rate |                            autohisto-agg |           0 |      % |
|                                                 Min Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                                Mean Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                              Median Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                                 Max Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                      0th percentile throughput |                       date-histogram-agg |     1.50013 |     ms |
|                                     25th percentile throughput |                       date-histogram-agg |     1.50017 |     ms |
|                                     50th percentile throughput |                       date-histogram-agg |     1.50024 |     ms |
|                                     75th percentile throughput |                       date-histogram-agg |     1.50045 |     ms |
|                                    100th percentile throughput |                       date-histogram-agg |     1.50348 |     ms |
|                                         0th percentile latency |                       date-histogram-agg |     6.82946 |     ms |
|                                        10th percentile latency |                       date-histogram-agg |      13.041 |     ms |
|                                        20th percentile latency |                       date-histogram-agg |     15.4982 |     ms |
|                                        25th percentile latency |                       date-histogram-agg |     16.5113 |     ms |
|                                        30th percentile latency |                       date-histogram-agg |     17.6258 |     ms |
|                                        40th percentile latency |                       date-histogram-agg |     20.1559 |     ms |
|                                        50th percentile latency |                       date-histogram-agg |     22.5298 |     ms |
|                                        60th percentile latency |                       date-histogram-agg |     25.4926 |     ms |
|                                        70th percentile latency |                       date-histogram-agg |     29.0782 |     ms |
|                                        75th percentile latency |                       date-histogram-agg |     31.5984 |     ms |
|                                        80th percentile latency |                       date-histogram-agg |     34.1747 |     ms |
|                                        90th percentile latency |                       date-histogram-agg |     42.5332 |     ms |
|                                        99th percentile latency |                       date-histogram-agg |     66.2907 |     ms |
|                                      99.9th percentile latency |                       date-histogram-agg |     78.2302 |     ms |
|                                       100th percentile latency |                       date-histogram-agg |      82.696 |     ms |
|                                   50th percentile service time |                       date-histogram-agg |     21.0295 |     ms |
|                                   90th percentile service time |                       date-histogram-agg |     41.0396 |     ms |
|                                   99th percentile service time |                       date-histogram-agg |     64.7655 |     ms |
|                                 99.9th percentile service time |                       date-histogram-agg |     76.6484 |     ms |
|                                  100th percentile service time |                       date-histogram-agg |     81.1043 |     ms |
|                                                     error rate |                       date-histogram-agg |           0 |      % |
|                                                 Min Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                                Mean Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                              Median Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                                 Max Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                      0th percentile throughput |         date-histogram-calendar-interval |     1.50013 |     ms |
|                                     25th percentile throughput |         date-histogram-calendar-interval |     1.50017 |     ms |
|                                     50th percentile throughput |         date-histogram-calendar-interval |     1.50024 |     ms |
|                                     75th percentile throughput |         date-histogram-calendar-interval |     1.50046 |     ms |
|                                    100th percentile throughput |         date-histogram-calendar-interval |     1.50349 |     ms |
|                                         0th percentile latency |         date-histogram-calendar-interval |     7.48711 |     ms |
|                                        10th percentile latency |         date-histogram-calendar-interval |     11.5582 |     ms |
|                                        20th percentile latency |         date-histogram-calendar-interval |     12.2082 |     ms |
|                                        25th percentile latency |         date-histogram-calendar-interval |     12.6271 |     ms |
|                                        30th percentile latency |         date-histogram-calendar-interval |      13.123 |     ms |
|                                        40th percentile latency |         date-histogram-calendar-interval |     13.9079 |     ms |
|                                        50th percentile latency |         date-histogram-calendar-interval |       14.63 |     ms |
|                                        60th percentile latency |         date-histogram-calendar-interval |     17.0786 |     ms |
|                                        70th percentile latency |         date-histogram-calendar-interval |     18.2809 |     ms |
|                                        75th percentile latency |         date-histogram-calendar-interval |     18.6414 |     ms |
|                                        80th percentile latency |         date-histogram-calendar-interval |      18.959 |     ms |
|                                        90th percentile latency |         date-histogram-calendar-interval |     19.5864 |     ms |
|                                        99th percentile latency |         date-histogram-calendar-interval |     21.3557 |     ms |
|                                      99.9th percentile latency |         date-histogram-calendar-interval |     24.6125 |     ms |
|                                       100th percentile latency |         date-histogram-calendar-interval |     32.5436 |     ms |
|                                   50th percentile service time |         date-histogram-calendar-interval |     13.0827 |     ms |
|                                   90th percentile service time |         date-histogram-calendar-interval |     18.0247 |     ms |
|                                   99th percentile service time |         date-histogram-calendar-interval |     19.9383 |     ms |
|                                 99.9th percentile service time |         date-histogram-calendar-interval |     23.0121 |     ms |
|                                  100th percentile service time |         date-histogram-calendar-interval |     31.0393 |     ms |
|                                                     error rate |         date-histogram-calendar-interval |           0 |      % |
|                                                 Min Throughput | date-histogram-calendar-interval-with-tz |        1.49 |  ops/s |
|                                                Mean Throughput | date-histogram-calendar-interval-with-tz |         1.5 |  ops/s |
|                                              Median Throughput | date-histogram-calendar-interval-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput | date-histogram-calendar-interval-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput | date-histogram-calendar-interval-with-tz |     1.48656 |     ms |
|                                     25th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49842 |     ms |
|                                     50th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49914 |     ms |
|                                     75th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49942 |     ms |
|                                    100th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49958 |     ms |
|                                         0th percentile latency | date-histogram-calendar-interval-with-tz |     9.57585 |     ms |
|                                        10th percentile latency | date-histogram-calendar-interval-with-tz |     59.6724 |     ms |
|                                        20th percentile latency | date-histogram-calendar-interval-with-tz |     111.792 |     ms |
|                                        25th percentile latency | date-histogram-calendar-interval-with-tz |     141.434 |     ms |
|                                        30th percentile latency | date-histogram-calendar-interval-with-tz |     177.767 |     ms |
|                                        40th percentile latency | date-histogram-calendar-interval-with-tz |     257.591 |     ms |
|                                        50th percentile latency | date-histogram-calendar-interval-with-tz |     336.692 |     ms |
|                                        60th percentile latency | date-histogram-calendar-interval-with-tz |      440.73 |     ms |
|                                        70th percentile latency | date-histogram-calendar-interval-with-tz |     554.886 |     ms |
|                                        75th percentile latency | date-histogram-calendar-interval-with-tz |     620.976 |     ms |
|                                        80th percentile latency | date-histogram-calendar-interval-with-tz |     697.906 |     ms |
|                                        90th percentile latency | date-histogram-calendar-interval-with-tz |     881.093 |     ms |
|                                        99th percentile latency | date-histogram-calendar-interval-with-tz |     1258.79 |     ms |
|                                      99.9th percentile latency | date-histogram-calendar-interval-with-tz |     1541.09 |     ms |
|                                       100th percentile latency | date-histogram-calendar-interval-with-tz |     1804.33 |     ms |
|                                   50th percentile service time | date-histogram-calendar-interval-with-tz |     288.552 |     ms |
|                                   90th percentile service time | date-histogram-calendar-interval-with-tz |     801.775 |     ms |
|                                   99th percentile service time | date-histogram-calendar-interval-with-tz |     1102.85 |     ms |
|                                 99.9th percentile service time | date-histogram-calendar-interval-with-tz |     1190.82 |     ms |
|                                  100th percentile service time | date-histogram-calendar-interval-with-tz |      1221.4 |     ms |
|                                                     error rate | date-histogram-calendar-interval-with-tz |           0 |      % |
|                                                 Min Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                                Mean Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                              Median Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                                 Max Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                      0th percentile throughput |            date-histogram-fixed-interval |     1.50013 |     ms |
|                                     25th percentile throughput |            date-histogram-fixed-interval |     1.50017 |     ms |
|                                     50th percentile throughput |            date-histogram-fixed-interval |     1.50024 |     ms |
|                                     75th percentile throughput |            date-histogram-fixed-interval |     1.50045 |     ms |
|                                    100th percentile throughput |            date-histogram-fixed-interval |     1.50348 |     ms |
|                                         0th percentile latency |            date-histogram-fixed-interval |      7.0703 |     ms |
|                                        10th percentile latency |            date-histogram-fixed-interval |     11.7752 |     ms |
|                                        20th percentile latency |            date-histogram-fixed-interval |     12.6787 |     ms |
|                                        25th percentile latency |            date-histogram-fixed-interval |     13.4024 |     ms |
|                                        30th percentile latency |            date-histogram-fixed-interval |     13.8743 |     ms |
|                                        40th percentile latency |            date-histogram-fixed-interval |      14.628 |     ms |
|                                        50th percentile latency |            date-histogram-fixed-interval |     15.6026 |     ms |
|                                        60th percentile latency |            date-histogram-fixed-interval |     17.1567 |     ms |
|                                        70th percentile latency |            date-histogram-fixed-interval |     18.1518 |     ms |
|                                        75th percentile latency |            date-histogram-fixed-interval |     18.5824 |     ms |
|                                        80th percentile latency |            date-histogram-fixed-interval |     18.9835 |     ms |
|                                        90th percentile latency |            date-histogram-fixed-interval |     21.8052 |     ms |
|                                        99th percentile latency |            date-histogram-fixed-interval |     25.1327 |     ms |
|                                      99.9th percentile latency |            date-histogram-fixed-interval |     28.1199 |     ms |
|                                       100th percentile latency |            date-histogram-fixed-interval |      35.567 |     ms |
|                                   50th percentile service time |            date-histogram-fixed-interval |     14.0619 |     ms |
|                                   90th percentile service time |            date-histogram-fixed-interval |     20.3294 |     ms |
|                                   99th percentile service time |            date-histogram-fixed-interval |     23.6002 |     ms |
